	taxa	sample	mean	se	V1	V2	V3	V4	Time
545	log_KP_rel_mean	C1-G3-T3-TP24	5.364585781	0.194345554985813	C1	G3	T3	TP24	72
556	log_CI_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1
557	log_Lac_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1
558	log_EF_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1
559	log_EC_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1
560	log_KP_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1
571	log_CI_rel_mean	C1-G3-T4-TP3	0.01330264	NA	C1	G3	T4	TP3	51
572	log_Lac_rel_mean	C1-G3-T4-TP3	0.01330264	NA	C1	G3	T4	TP3	51
573	log_EF_rel_mean	C1-G3-T4-TP3	1.54790908	NA	C1	G3	T4	TP3	51
574	log_EC_rel_mean	C1-G3-T4-TP3	1.047604772	NA	C1	G3	T4	TP3	51
575	log_KP_rel_mean	C1-G3-T4-TP3	4.4358135	NA	C1	G3	T4	TP3	51
586	log_CI_rel_mean	C1-G3-T4-TP6	0.0271133766666667	0.00693102504751595	C1	G3	T4	TP6	54
587	log_Lac_rel_mean	C1-G3-T4-TP6	0.0271133766666667	0.00693102504751595	C1	G3	T4	TP6	54
588	log_EF_rel_mean	C1-G3-T4-TP6	4.941732279	0.186551527985957	C1	G3	T4	TP6	54
589	log_EC_rel_mean	C1-G3-T4-TP6	2.19103672966667	0.41375288500196	C1	G3	T4	TP6	54
590	log_KP_rel_mean	C1-G3-T4-TP6	5.257843089	0.0483998135474461	C1	G3	T4	TP6	54
601	log_CI_rel_mean	C1-G3-T4-TP12	0.233841625	0.197525834115198	C1	G3	T4	TP12	60
602	log_Lac_rel_mean	C1-G3-T4-TP12	0.182164612	0.145875858329665	C1	G3	T4	TP12	60
603	log_EF_rel_mean	C1-G3-T4-TP12	5.41224752266667	0.181597339840377	C1	G3	T4	TP12	60
604	log_EC_rel_mean	C1-G3-T4-TP12	2.73082077266667	0.500871412300631	C1	G3	T4	TP12	60
605	log_KP_rel_mean	C1-G3-T4-TP12	5.268840817	0.127720573232074	C1	G3	T4	TP12	60
616	log_CI_rel_mean	C1-G3-T4-TP24	0.272751195666667	0.198253933629928	C1	G3	T4	TP24	72
617	log_Lac_rel_mean	C1-G3-T4-TP24	0.180797042666667	0.128717962689276	C1	G3	T4	TP24	72
618	log_EF_rel_mean	C1-G3-T4-TP24	4.896728884	0.427050049614657	C1	G3	T4	TP24	72
619	log_EC_rel_mean	C1-G3-T4-TP24	3.09812114166667	0.340775156885603	C1	G3	T4	TP24	72
620	log_KP_rel_mean	C1-G3-T4-TP24	5.38970962833333	0.20929760161895	C1	G3	T4	TP24	72
631	log_CI_rel_mean	C2-G1-NA-TP0	0	0	C2	G1	T1	TP0	0
632	log_Lac_rel_mean	C2-G1-NA-TP0	0	0	C2	G1	T1	TP0	0
633	log_EF_rel_mean	C2-G1-NA-TP0	0	0	C2	G1	T1	TP0	0
634	log_EC_rel_mean	C2-G1-NA-TP0	0	0	C2	G1	T1	TP0	0
635	log_KP_rel_mean	C2-G1-NA-TP0	0	0	C2	G1	T1	TP0	0
646	log_CI_rel_mean	C2-G1-NA-TP3	3.00375275533333	0.189088331273999	C2	G1	T1	TP3	3
647	log_Lac_rel_mean	C2-G1-NA-TP3	1.53550560633333	0.566703916879576	C2	G1	T1	TP3	3
648	log_EF_rel_mean	C2-G1-NA-TP3	0	0	C2	G1	T1	TP3	3
649	log_EC_rel_mean	C2-G1-NA-TP3	3.94381083066667	0.326183020708167	C2	G1	T1	TP3	3
650	log_KP_rel_mean	C2-G1-NA-TP3	3.96370574233333	0.219543442138215	C2	G1	T1	TP3	3
661	log_CI_rel_mean	C2-G1-NA-TP6	3.670612186	0.295068591426047	C2	G1	T1	TP6	6
662	log_Lac_rel_mean	C2-G1-NA-TP6	2.29890389033333	0.749990898364244	C2	G1	T1	TP6	6
663	log_EF_rel_mean	C2-G1-NA-TP6	0	0	C2	G1	T1	TP6	6
664	log_EC_rel_mean	C2-G1-NA-TP6	4.95205276866667	0.217496968262214	C2	G1	T1	TP6	6
665	log_KP_rel_mean	C2-G1-NA-TP6	5.036351874	0.151685156696501	C2	G1	T1	TP6	6
676	log_CI_rel_mean	C2-G1-NA-TP12	4.02962094266667	0.372779252646509	C2	G1	T1	TP12	12
677	log_Lac_rel_mean	C2-G1-NA-TP12	2.29135844266667	0.767575906668599	C2	G1	T1	TP12	12
678	log_EF_rel_mean	C2-G1-NA-TP12	0	0	C2	G1	T1	TP12	12
